Disease,Symptom,HealthTips
Gastroenteritis,"[""cough"", ""shortness of breath"", ""constipation"", ""fatigue"", ""loss of smell"", ""sore throat"", ""tremor""]",Stay informed and get vaccinated when available.
Gastroenteritis,"[""sleeplessness"", ""fatigue"", ""tremor"", ""vomiting""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""constipation"", ""cough"", ""fever"", ""agitation"", ""vomiting"", ""loss of taste"", ""sore throat"", ""rash""]",Engage in regular physical activity appropriate to your condition.
COVID-19,"[""nausea"", ""dizziness"", ""muscle twitch"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
Diabetes mellitus,"[""cough"", ""rash"", ""dizziness"", ""seizure"", ""chest pain"", ""chill""]",Get adequate rest and sleep.
Stroke,"[""diarrhea"", ""night sweats"", ""loss of smell"", ""chill"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
COPD,"[""fever"", ""sore throat"", ""tremor""]",Avoid known triggers and allergens.
Hypothyroidism,"[""chest pain"", ""loss of smell"", ""agitation"", ""fever"", ""chill"", ""vomiting"", ""seizure"", ""joint pain""]",Stay informed and get vaccinated when available.
Migraine,"[""chest pain"", ""constipation"", ""dizziness"", ""chill"", ""muscle twitch"", ""blurred vision"", ""rash""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""loss of smell"", ""weight loss"", ""agitation"", ""chill"", ""chest pain"", ""chill"", ""headache"", ""tremor""]",Follow prescribed medication schedules carefully.
Coronary artery disease,"[""seizure"", ""dizziness"", ""shortness of breath"", ""chest pain"", ""tremor"", ""muscle twitch"", ""joint pain"", ""blurred vision""]",Get adequate rest and sleep.
Anemia,"[""fever"", ""chill"", ""agitation""]",Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""nausea"", ""dizziness"", ""seizure"", ""chill""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""loss of taste"", ""diarrhea"", ""sore throat"", ""sleeplessness"", ""fever"", ""nausea""]",Engage in regular physical activity appropriate to your condition.
COPD,"[""sleeplessness"", ""weight loss"", ""dizziness"", ""agitation"", ""swelling"", ""constipation"", ""confusion""]",Practice stress-reducing techniques like meditation. Engage in regular physical activity appropriate to your condition.
Asthma,"[""joint pain"", ""chill"", ""nausea"", ""rash"", ""dizziness"", ""muscle twitch"", ""seizure"", ""agitation""]",Avoid known triggers and allergens.
Tuberculosis,"[""chill"", ""shortness of breath"", ""agitation""]",Maintain a balanced diet and stay hydrated.
Depression,"[""chill"", ""dizziness"", ""cough""]",Stay informed and get vaccinated when available.
Depression,"[""shortness of breath"", ""loss of taste"", ""seizure"", ""sore throat"", ""weight loss"", ""confusion""]",Practice stress-reducing techniques like meditation.
Anemia,"[""fatigue"", ""constipation"", ""loss of smell""]",Get adequate rest and sleep.
Asthma,"[""palpitations"", ""confusion"", ""nausea"", ""headache"", ""blurred vision"", ""night sweats"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""loss of taste"", ""headache"", ""night sweats"", ""joint pain"", ""blurred vision"", ""chest pain"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Tuberculosis,"[""chill"", ""diarrhea"", ""fatigue"", ""chest pain"", ""nausea""]",Quit smoking and avoid alcohol consumption. Follow prescribed medication schedules carefully.
Gastroenteritis,"[""chill"", ""muscle twitch"", ""sore throat""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""constipation"", ""fever"", ""weight loss"", ""dizziness"", ""tremor""]",Avoid known triggers and allergens.
Anemia,"[""weight loss"", ""swelling"", ""loss of smell"", ""headache"", ""sore throat"", ""blurred vision"", ""confusion"", ""joint pain""]",Ensure regular check-ups with your healthcare provider.
Asthma,"[""blurred vision"", ""joint pain"", ""cough"", ""swelling"", ""loss of taste"", ""dizziness""]",Stay informed and get vaccinated when available.
Epilepsy,"[""chill"", ""vomiting"", ""palpitations""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Stroke,"[""joint pain"", ""weight loss"", ""rash"", ""chest pain"", ""sore throat"", ""shortness of breath"", ""fatigue""]",Get adequate rest and sleep.
Diabetes mellitus,"[""chest pain"", ""dizziness"", ""shortness of breath""]",Stay informed and get vaccinated when available.
Pneumocystis carinii pneumonia,"[""chest pain"", ""rash"", ""sore throat"", ""weight loss"", ""fever"", ""palpitations""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""night sweats"", ""vomiting"", ""tremor"", ""nausea"", ""cough"", ""loss of taste"", ""weight loss""]",Practice stress-reducing techniques like meditation. Engage in regular physical activity appropriate to your condition.
Stroke,"[""chill"", ""nausea"", ""fatigue"", ""dizziness"", ""agitation"", ""chill"", ""loss of smell""]",Get adequate rest and sleep.
Hypertension,"[""weight loss"", ""chest pain"", ""seizure"", ""shortness of breath"", ""dizziness"", ""nausea"", ""vomiting"", ""fever""]",Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""diarrhea"", ""fatigue"", ""night sweats""]",Avoid known triggers and allergens.
Adhesion,"[""fever"", ""swelling"", ""constipation"", ""shortness of breath""]",Maintain a balanced diet and stay hydrated.
Pneumocystis carinii pneumonia,"[""dizziness"", ""fever"", ""rash"", ""sleeplessness"", ""confusion"", ""agitation""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""chest pain"", ""blurred vision"", ""muscle twitch"", ""loss of smell"", ""nausea""]",Practice stress-reducing techniques like meditation.
Migraine,"[""diarrhea"", ""vomiting"", ""cough"", ""blurred vision""]",Maintain hygiene to prevent infections.
Adenocarcinoma,"[""seizure"", ""weight loss"", ""fatigue""]",Practice stress-reducing techniques like meditation.
COPD,"[""confusion"", ""sleeplessness"", ""chill"", ""tremor"", ""palpitations"", ""dizziness"", ""chill"", ""agitation""]",Engage in regular physical activity appropriate to your condition. Practice stress-reducing techniques like meditation.
COVID-19,"[""weight loss"", ""blurred vision"", ""fatigue"", ""constipation"", ""sleeplessness"", ""dizziness""]",Maintain hygiene to prevent infections.
Diabetes mellitus,"[""loss of smell"", ""fatigue"", ""palpitations"", ""joint pain"", ""night sweats"", ""fever"", ""tremor""]",Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""fever"", ""fatigue"", ""headache"", ""weight loss"", ""confusion"", ""rash""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""agitation"", ""chill"", ""tremor"", ""joint pain""]",Maintain hygiene to prevent infections.
Tuberculosis,"[""dizziness"", ""shortness of breath"", ""weight loss"", ""dizziness"", ""loss of taste""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""rash"", ""night sweats"", ""swelling"", ""blurred vision"", ""chill"", ""loss of smell"", ""tremor""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""rash"", ""loss of smell"", ""fever"", ""headache""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""swelling"", ""fatigue"", ""dizziness"", ""shortness of breath"", ""headache"", ""sore throat""]",Maintain a balanced diet and stay hydrated. Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""tremor"", ""sore throat"", ""fatigue""]",Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""loss of taste"", ""weight loss"", ""sleeplessness"", ""chest pain"", ""night sweats"", ""cough"", ""shortness of breath""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""chill"", ""nausea"", ""night sweats"", ""muscle twitch"", ""joint pain""]",Follow prescribed medication schedules carefully. Practice stress-reducing techniques like meditation.
Adhesion,"[""dizziness"", ""chill"", ""tremor"", ""blurred vision"", ""constipation"", ""night sweats""]",Maintain hygiene to prevent infections.
Depression,"[""dizziness"", ""blurred vision"", ""chest pain"", ""seizure"", ""swelling""]",Stay informed and get vaccinated when available. Ensure regular check-ups with your healthcare provider.
Depression,"[""shortness of breath"", ""nausea"", ""swelling"", ""night sweats"", ""weight loss"", ""blurred vision""]",Quit smoking and avoid alcohol consumption.
Depression,"[""fatigue"", ""night sweats"", ""seizure"", ""vomiting"", ""shortness of breath"", ""nausea""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""chest pain"", ""confusion"", ""rash"", ""headache"", ""sore throat"", ""dizziness""]",Maintain a balanced diet and stay hydrated. Maintain hygiene to prevent infections.
Stroke,"[""swelling"", ""chill"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption. Ensure regular check-ups with your healthcare provider.
Parkinson's disease,"[""chill"", ""swelling"", ""diarrhea"", ""constipation"", ""fever"", ""weight loss"", ""tremor""]",Maintain a balanced diet and stay hydrated.
Tuberculosis,"[""palpitations"", ""chill"", ""rash""]",Maintain a balanced diet and stay hydrated.
Migraine,"[""sore throat"", ""fever"", ""night sweats""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""swelling"", ""fatigue"", ""palpitations"", ""weight loss"", ""chest pain"", ""muscle twitch"", ""blurred vision"", ""headache""]",Follow prescribed medication schedules carefully.
Coronary artery disease,"[""loss of taste"", ""seizure"", ""nausea"", ""sore throat"", ""fever"", ""tremor""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""chest pain"", ""weight loss"", ""fever"", ""nausea"", ""constipation"", ""swelling"", ""fatigue"", ""diarrhea""]",Practice stress-reducing techniques like meditation.
Alzheimer's disease,"[""vomiting"", ""confusion"", ""seizure"", ""fatigue"", ""agitation"", ""cough"", ""diarrhea"", ""headache""]",Practice stress-reducing techniques like meditation.
Rheumatoid arthritis,"[""agitation"", ""chest pain"", ""night sweats"", ""muscle twitch"", ""rash"", ""palpitations""]",Practice stress-reducing techniques like meditation.
COPD,"[""loss of smell"", ""sleeplessness"", ""chill""]",Maintain hygiene to prevent infections.
Hypothyroidism,"[""nausea"", ""diarrhea"", ""fever"", ""cough"", ""shortness of breath"", ""dizziness""]",Practice stress-reducing techniques like meditation. Stay informed and get vaccinated when available.
Pneumocystis carinii pneumonia,"[""shortness of breath"", ""palpitations"", ""joint pain"", ""weight loss"", ""chest pain""]",Follow prescribed medication schedules carefully.
Adhesion,"[""dizziness"", ""fatigue"", ""sore throat"", ""sleeplessness"", ""agitation"", ""joint pain"", ""confusion"", ""swelling""]",Follow prescribed medication schedules carefully. Stay informed and get vaccinated when available.
Anemia,"[""swelling"", ""confusion"", ""joint pain"", ""seizure"", ""dizziness""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Alzheimer's disease,"[""sore throat"", ""diarrhea"", ""shortness of breath""]",Follow prescribed medication schedules carefully.
Pneumocystis carinii pneumonia,"[""cough"", ""tremor"", ""dizziness""]",Practice stress-reducing techniques like meditation.
COVID-19,"[""cough"", ""vomiting"", ""headache"", ""joint pain"", ""dizziness"", ""nausea"", ""loss of taste""]",Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""dizziness"", ""rash"", ""loss of taste"", ""constipation"", ""diarrhea""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""seizure"", ""constipation"", ""palpitations"", ""cough"", ""diarrhea""]",Quit smoking and avoid alcohol consumption. Ensure regular check-ups with your healthcare provider.
Depression,"[""seizure"", ""shortness of breath"", ""muscle twitch"", ""loss of taste"", ""diarrhea""]",Engage in regular physical activity appropriate to your condition.
Hypertension,"[""loss of taste"", ""confusion"", ""swelling""]",Get adequate rest and sleep.
Gastroenteritis,"[""dizziness"", ""palpitations"", ""confusion"", ""nausea"", ""chill"", ""night sweats"", ""weight loss""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""cough"", ""vomiting"", ""seizure"", ""night sweats"", ""weight loss""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""weight loss"", ""sleeplessness"", ""cough"", ""chill"", ""fever""]",Avoid known triggers and allergens.
Hyperthyroidism,"[""fatigue"", ""headache"", ""chill"", ""diarrhea"", ""night sweats"", ""weight loss""]",Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""chest pain"", ""fever"", ""constipation"", ""chill""]",Avoid known triggers and allergens.
Migraine,"[""dizziness"", ""blurred vision"", ""dizziness"", ""rash""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""constipation"", ""rash"", ""sore throat"", ""headache"", ""loss of taste""]",Engage in regular physical activity appropriate to your condition.
Hyperthyroidism,"[""sore throat"", ""swelling"", ""cough"", ""seizure""]",Get adequate rest and sleep.
Hypertension,"[""cough"", ""seizure"", ""fatigue"", ""shortness of breath"", ""night sweats"", ""diarrhea""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Migraine,"[""headache"", ""muscle twitch"", ""blurred vision"", ""night sweats""]",Quit smoking and avoid alcohol consumption.
Stroke,"[""seizure"", ""loss of taste"", ""fever"", ""dizziness"", ""cough"", ""weight loss"", ""vomiting""]",Ensure regular check-ups with your healthcare provider. Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""vomiting"", ""chill"", ""cough"", ""nausea"", ""blurred vision"", ""fatigue""]",Stay informed and get vaccinated when available.
Rheumatoid arthritis,"[""swelling"", ""dizziness"", ""vomiting""]",Maintain hygiene to prevent infections.
Asthma,"[""cough"", ""palpitations"", ""agitation""]",Maintain hygiene to prevent infections. Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""sleeplessness"", ""nausea"", ""fatigue""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Adenocarcinoma,"[""rash"", ""chill"", ""palpitations"", ""blurred vision"", ""night sweats"", ""seizure"", ""vomiting""]",Get adequate rest and sleep.
Gastroenteritis,"[""agitation"", ""swelling"", ""night sweats"", ""cough"", ""loss of taste"", ""joint pain"", ""sore throat"", ""dizziness""]",Stay informed and get vaccinated when available.
Stroke,"[""rash"", ""confusion"", ""loss of taste"", ""seizure""]",Follow prescribed medication schedules carefully.
Hyperthyroidism,"[""confusion"", ""loss of smell"", ""chill"", ""loss of taste"", ""night sweats""]",Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""night sweats"", ""sleeplessness"", ""shortness of breath"", ""vomiting""]",Stay informed and get vaccinated when available. Ensure regular check-ups with your healthcare provider.
COVID-19,"[""chill"", ""vomiting"", ""loss of smell""]",Practice stress-reducing techniques like meditation. Maintain a balanced diet and stay hydrated.
Migraine,"[""nausea"", ""confusion"", ""palpitations"", ""night sweats"", ""chill"", ""swelling"", ""sore throat""]",Ensure regular check-ups with your healthcare provider.
Depression,"[""night sweats"", ""chill"", ""agitation"", ""vomiting"", ""confusion"", ""palpitations"", ""blurred vision"", ""dizziness""]",Quit smoking and avoid alcohol consumption. Stay informed and get vaccinated when available.
COVID-19,"[""night sweats"", ""rash"", ""dizziness"", ""diarrhea"", ""blurred vision"", ""joint pain""]",Maintain a balanced diet and stay hydrated.
Tuberculosis,"[""cough"", ""chest pain"", ""sore throat"", ""loss of smell""]",Follow prescribed medication schedules carefully. Get adequate rest and sleep.
Tuberculosis,"[""fever"", ""night sweats"", ""diarrhea"", ""loss of smell"", ""chill"", ""shortness of breath""]",Ensure regular check-ups with your healthcare provider.
Depression,"[""dizziness"", ""tremor"", ""swelling"", ""night sweats"", ""cough"", ""muscle twitch"", ""weight loss""]",Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""agitation"", ""dizziness"", ""rash"", ""weight loss"", ""shortness of breath"", ""sleeplessness""]",Follow prescribed medication schedules carefully.
Anemia,"[""chill"", ""sore throat"", ""palpitations"", ""night sweats"", ""loss of smell""]",Ensure regular check-ups with your healthcare provider.
Adhesion,"[""dizziness"", ""rash"", ""weight loss""]",Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""vomiting"", ""muscle twitch"", ""fatigue""]",Stay informed and get vaccinated when available.
Tuberculosis,"[""joint pain"", ""confusion"", ""cough"", ""fatigue"", ""dizziness"", ""nausea"", ""night sweats"", ""fever""]",Stay informed and get vaccinated when available.
COVID-19,"[""chest pain"", ""sleeplessness"", ""cough"", ""joint pain"", ""constipation"", ""nausea""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""muscle twitch"", ""palpitations"", ""swelling"", ""loss of smell"", ""fever"", ""nausea"", ""shortness of breath""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""cough"", ""weight loss"", ""dizziness"", ""blurred vision"", ""sore throat"", ""chill""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""constipation"", ""loss of smell"", ""diarrhea"", ""headache"", ""vomiting"", ""dizziness"", ""swelling"", ""agitation""]",Avoid known triggers and allergens.
Coronary artery disease,"[""muscle twitch"", ""fatigue"", ""shortness of breath"", ""confusion""]",Stay informed and get vaccinated when available.
Alzheimer's disease,"[""dizziness"", ""fatigue"", ""loss of smell"", ""rash"", ""blurred vision"", ""cough""]",Stay informed and get vaccinated when available. Maintain a balanced diet and stay hydrated.
Anemia,"[""diarrhea"", ""chill"", ""tremor"", ""fatigue""]",Quit smoking and avoid alcohol consumption. Maintain a balanced diet and stay hydrated.
Migraine,"[""chest pain"", ""weight loss"", ""agitation"", ""fatigue"", ""fever"", ""nausea"", ""chill"", ""seizure""]",Follow prescribed medication schedules carefully.
Adenocarcinoma,"[""night sweats"", ""muscle twitch"", ""swelling"", ""headache"", ""joint pain"", ""fatigue"", ""seizure""]",Quit smoking and avoid alcohol consumption. Get adequate rest and sleep.
Hyperthyroidism,"[""chill"", ""loss of smell"", ""diarrhea"", ""palpitations"", ""dizziness"", ""weight loss"", ""fatigue""]",Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""fatigue"", ""constipation"", ""seizure"", ""cough"", ""confusion""]",Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""constipation"", ""shortness of breath"", ""palpitations"", ""cough"", ""blurred vision"", ""diarrhea"", ""loss of taste""]",Follow prescribed medication schedules carefully.
Hypothyroidism,"[""dizziness"", ""confusion"", ""muscle twitch"", ""loss of taste"", ""joint pain"", ""chill"", ""chill""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""sleeplessness"", ""seizure"", ""diarrhea""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""shortness of breath"", ""headache"", ""joint pain"", ""chill"", ""fatigue"", ""sleeplessness"", ""fever""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""joint pain"", ""palpitations"", ""diarrhea"", ""swelling"", ""weight loss"", ""rash""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""agitation"", ""night sweats"", ""fever"", ""sore throat"", ""dizziness"", ""tremor"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Migraine,"[""nausea"", ""sleeplessness"", ""shortness of breath"", ""dizziness""]",Avoid known triggers and allergens. Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""blurred vision"", ""weight loss"", ""nausea""]",Maintain a balanced diet and stay hydrated. Quit smoking and avoid alcohol consumption.
COVID-19,"[""blurred vision"", ""rash"", ""shortness of breath"", ""muscle twitch"", ""palpitations""]",Avoid known triggers and allergens. Ensure regular check-ups with your healthcare provider.
Adenocarcinoma,"[""sleeplessness"", ""muscle twitch"", ""diarrhea"", ""chest pain"", ""palpitations""]",Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""tremor"", ""night sweats"", ""joint pain""]",Quit smoking and avoid alcohol consumption.
Migraine,"[""constipation"", ""weight loss"", ""chill"", ""sore throat"", ""night sweats"", ""cough"", ""muscle twitch""]",Follow prescribed medication schedules carefully. Practice stress-reducing techniques like meditation.
Parkinson's disease,"[""dizziness"", ""muscle twitch"", ""weight loss""]",Avoid known triggers and allergens.
Parkinson's disease,"[""agitation"", ""rash"", ""headache"", ""palpitations""]",Maintain hygiene to prevent infections.
Stroke,"[""joint pain"", ""sore throat"", ""tremor"", ""loss of taste"", ""chill""]",Maintain hygiene to prevent infections.
Diabetes mellitus,"[""agitation"", ""sleeplessness"", ""diarrhea"", ""fever"", ""rash""]",Get adequate rest and sleep.
Depression,"[""chill"", ""dizziness"", ""loss of smell"", ""diarrhea"", ""cough"", ""nausea"", ""palpitations""]",Maintain a balanced diet and stay hydrated.
Diabetes mellitus,"[""fatigue"", ""diarrhea"", ""fever"", ""chill"", ""rash"", ""weight loss"", ""nausea""]",Engage in regular physical activity appropriate to your condition.
Adhesion,"[""joint pain"", ""fever"", ""dizziness"", ""cough"", ""blurred vision"", ""shortness of breath""]",Maintain hygiene to prevent infections.
Epilepsy,"[""chest pain"", ""loss of smell"", ""sleeplessness"", ""nausea""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""muscle twitch"", ""dizziness"", ""chill"", ""chest pain"", ""swelling"", ""night sweats"", ""shortness of breath""]",Engage in regular physical activity appropriate to your condition.
Migraine,"[""shortness of breath"", ""nausea"", ""blurred vision"", ""chill"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Epilepsy,"[""joint pain"", ""night sweats"", ""chill"", ""swelling"", ""confusion"", ""rash""]",Ensure regular check-ups with your healthcare provider.
Hypertension,"[""blurred vision"", ""chill"", ""palpitations"", ""agitation""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""nausea"", ""agitation"", ""dizziness"", ""chill"", ""muscle twitch"", ""cough"", ""night sweats"", ""blurred vision""]",Ensure regular check-ups with your healthcare provider.
Coronary artery disease,"[""joint pain"", ""tremor"", ""sore throat""]",Practice stress-reducing techniques like meditation.
Stroke,"[""seizure"", ""nausea"", ""shortness of breath"", ""chest pain"", ""chill"", ""loss of smell"", ""dizziness""]",Stay informed and get vaccinated when available.
Hypothyroidism,"[""sleeplessness"", ""joint pain"", ""sore throat"", ""headache"", ""agitation"", ""dizziness"", ""rash"", ""loss of smell""]",Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""sleeplessness"", ""diarrhea"", ""constipation"", ""confusion""]",Ensure regular check-ups with your healthcare provider. Follow prescribed medication schedules carefully.
COVID-19,"[""chest pain"", ""confusion"", ""tremor"", ""sleeplessness"", ""dizziness"", ""palpitations"", ""sore throat""]",Quit smoking and avoid alcohol consumption.
Anemia,"[""sore throat"", ""palpitations"", ""sleeplessness"", ""rash"", ""loss of taste""]",Engage in regular physical activity appropriate to your condition.
COVID-19,"[""sleeplessness"", ""tremor"", ""constipation"", ""agitation"", ""swelling"", ""chest pain"", ""sore throat""]",Follow prescribed medication schedules carefully.
Alzheimer's disease,"[""shortness of breath"", ""tremor"", ""diarrhea"", ""dizziness"", ""loss of taste""]",Follow prescribed medication schedules carefully. Stay informed and get vaccinated when available.
Epilepsy,"[""sore throat"", ""blurred vision"", ""muscle twitch"", ""chest pain"", ""diarrhea"", ""confusion"", ""palpitations""]",Get adequate rest and sleep.
Adenocarcinoma,"[""sleeplessness"", ""headache"", ""diarrhea"", ""swelling"", ""tremor"", ""palpitations""]",Maintain hygiene to prevent infections.
Parkinson's disease,"[""confusion"", ""seizure"", ""blurred vision"", ""vomiting"", ""sleeplessness"", ""swelling""]",Practice stress-reducing techniques like meditation. Maintain a balanced diet and stay hydrated.
Anemia,"[""loss of taste"", ""vomiting"", ""night sweats"", ""tremor"", ""palpitations"", ""shortness of breath"", ""cough""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Anemia,"[""joint pain"", ""diarrhea"", ""agitation"", ""shortness of breath""]",Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""swelling"", ""night sweats"", ""tremor"", ""nausea""]",Practice stress-reducing techniques like meditation.
Parkinson's disease,"[""confusion"", ""vomiting"", ""cough"", ""shortness of breath"", ""sore throat"", ""dizziness"", ""chest pain"", ""agitation""]",Avoid known triggers and allergens.
Tuberculosis,"[""blurred vision"", ""cough"", ""sleeplessness"", ""loss of taste"", ""rash"", ""joint pain"", ""swelling"", ""night sweats""]",Engage in regular physical activity appropriate to your condition. Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""chest pain"", ""vomiting"", ""headache"", ""dizziness"", ""loss of taste""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""dizziness"", ""diarrhea"", ""rash""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""chill"", ""dizziness"", ""seizure""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""joint pain"", ""sore throat"", ""fever"", ""rash"", ""chill"", ""blurred vision"", ""constipation""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Adenocarcinoma,"[""loss of taste"", ""dizziness"", ""palpitations"", ""fatigue"", ""muscle twitch"", ""cough"", ""chest pain"", ""headache""]",Ensure regular check-ups with your healthcare provider.
Tuberculosis,"[""loss of smell"", ""vomiting"", ""seizure"", ""chill"", ""joint pain"", ""blurred vision""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Hypothyroidism,"[""nausea"", ""headache"", ""loss of smell"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
Depression,"[""sleeplessness"", ""fever"", ""nausea"", ""chill"", ""vomiting"", ""sore throat"", ""muscle twitch"", ""swelling""]",Practice stress-reducing techniques like meditation.
Epilepsy,"[""loss of smell"", ""tremor"", ""seizure"", ""loss of taste"", ""dizziness"", ""chill""]",Avoid known triggers and allergens.
Hypertension,"[""constipation"", ""dizziness"", ""muscle twitch"", ""fatigue"", ""rash""]",Follow prescribed medication schedules carefully.
Rheumatoid arthritis,"[""nausea"", ""cough"", ""muscle twitch"", ""headache"", ""chest pain"", ""swelling""]",Avoid known triggers and allergens.
Pneumocystis carinii pneumonia,"[""fatigue"", ""dizziness"", ""dizziness"", ""chill"", ""shortness of breath"", ""vomiting""]",Ensure regular check-ups with your healthcare provider.
Epilepsy,"[""constipation"", ""weight loss"", ""blurred vision"", ""fatigue"", ""shortness of breath"", ""confusion""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""weight loss"", ""loss of smell"", ""nausea"", ""constipation""]",Ensure regular check-ups with your healthcare provider. Quit smoking and avoid alcohol consumption.
Adhesion,"[""diarrhea"", ""joint pain"", ""vomiting"", ""nausea"", ""headache"", ""blurred vision"", ""chill""]",Get adequate rest and sleep.
Hypothyroidism,"[""rash"", ""dizziness"", ""chill"", ""night sweats"", ""confusion"", ""vomiting"", ""constipation"", ""diarrhea""]",Stay informed and get vaccinated when available.
Hypertension,"[""confusion"", ""agitation"", ""chill"", ""loss of taste""]",Stay informed and get vaccinated when available.
Hypothyroidism,"[""palpitations"", ""chest pain"", ""fatigue"", ""blurred vision"", ""tremor"", ""night sweats"", ""weight loss""]",Follow prescribed medication schedules carefully. Get adequate rest and sleep.
Diabetes mellitus,"[""loss of taste"", ""dizziness"", ""chest pain"", ""headache"", ""sleeplessness"", ""swelling""]",Maintain a balanced diet and stay hydrated. Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""shortness of breath"", ""tremor"", ""sleeplessness"", ""constipation""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Migraine,"[""loss of taste"", ""tremor"", ""fever""]",Follow prescribed medication schedules carefully. Practice stress-reducing techniques like meditation.
Depression,"[""night sweats"", ""sleeplessness"", ""fatigue"", ""headache"", ""dizziness"", ""blurred vision"", ""confusion"", ""weight loss""]",Avoid known triggers and allergens.
COPD,"[""nausea"", ""vomiting"", ""dizziness"", ""chest pain"", ""tremor"", ""chill"", ""diarrhea""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""chill"", ""dizziness"", ""joint pain""]",Maintain hygiene to prevent infections.
Stroke,"[""nausea"", ""night sweats"", ""headache"", ""swelling"", ""loss of taste"", ""diarrhea"", ""blurred vision""]",Follow prescribed medication schedules carefully.
COPD,"[""blurred vision"", ""rash"", ""shortness of breath"", ""chill"", ""tremor""]",Follow prescribed medication schedules carefully.
Anemia,"[""vomiting"", ""rash"", ""palpitations"", ""joint pain"", ""fatigue""]",Maintain a balanced diet and stay hydrated.
